id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,ci_result,closure_time,comment_time,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,review_comments,effective_comments
5451,merged,0,4,0,4,0,1,0,1,87056.342,1,0,0,1,0,4,4,0,0,109577.243,2,16,16,0,0,0,0,0,0
5434,merged,0,1,0,1,0,2,0,2,1214274.896,1,0,0,2,0,8,8,0,0,1231935.276,2,134,59,0,0,0,0,0,0
5421,merged,0,5,0,5,0,1,0,1,6374.08,1,0,0,1,0,4,4,0,0,36373.343,2,16,15,0,0,0,0,0,0
5401,merged,0,3,0,3,0,8,0,8,191589.166,1,0,0,8,0,32,32,0,0,192641.266,1,3,3,0,0,0,0,0,0
5348,merged,0,1,0,1,0,1,0,1,-33.997,1,0,0,1,0,4,4,0,0,11.381,1,58,89,0,0,0,0,0,0
5347,merged,0,7,0,7,0,2,0,2,-38.462,1,0,0,2,0,8,8,0,0,81.784,1,0,61,0,0,0,0,0,0
5346,merged,0,1,0,1,0,1,0,1,-46.37,1,0,0,1,0,4,4,0,0,10.273,1,0,0,0,0,0,0,0,0
5344,merged,0,7,0,7,0,1,0,1,-36.38,1,0,0,2,0,4,4,0,0,9.503,1,61,35,0,0,0,0,0,0
5343,merged,0,1,0,1,0,1,0,1,-29.474,1,0,0,1,0,4,4,0,0,10.884,1,1,1,0,0,0,0,0,0
5342,merged,0,1,0,1,0,1,0,1,-42.893,1,0,0,1,0,4,4,0,0,12.003,1,3,1,0,0,0,0,0,0
5338,merged,0,1,0,1,0,1,0,1,-81.193,1,0,0,1,0,4,4,0,0,10.743,1,0,1,0,0,0,0,0,0
5336,merged,1,9,1,7,0,2,0,2,-143.292,1,0,0,4,0,8,8,0,0,21.27,1,1163,1184,0,0,0,0,0,0
5333,merged,0,24,0,24,0,3,0,3,-57.301,1,0,0,8,0,12,10,1,0,63.676,1,973,1302,0,0,0,0,0,0
5332,merged,0,21,0,21,0,2,0,2,-78281.179,1,0,0,4,0,8,8,0,0,8.369,1,967,1283,0,0,0,0,0,0
5330,merged,0,3,0,3,0,1,0,1,-51.346,1,0,0,1,0,4,4,0,0,14.646,1,25,2,0,0,0,0,0,0
5325,merged,17,36,13,6,0,2,0,2,1935964.54,1,0,0,9,0,8,8,0,0,2011130.746,2,1355,4449,0,0,0,0,0,0
5324,merged,0,1,0,1,0,1,0,1,-35.136,1,0,0,1,0,4,4,0,0,11.408,1,0,2,0,0,0,0,0,0
5318,merged,0,1,0,1,0,1,0,1,-706.436,1,0,0,1,0,4,4,0,0,75.19,1,1,3,0,0,0,0,0,0
5308,merged,0,3,0,3,0,16,0,16,4934817.436,1,0,4841401.538,19,4322723.612,64,61,2,0,5038704.114,2,39,19,0,0,2,2,0,0
5306,merged,0,1,0,1,0,1,0,1,-91.236,1,0,0,1,0,4,4,0,0,11.447,1,0,0,0,0,0,0,0,0
5305,merged,0,1,0,1,0,1,0,1,-68.964,1,0,0,1,0,4,4,0,0,52.558,1,0,0,0,0,0,0,0,0
5304,merged,29,171,6,136,0,20,0,20,-67.68,1,0,0,82,0,80,61,7,0,26.984,1,6275,4449,0,0,0,0,0,0
5290,merged,0,1,0,1,0,1,0,1,6397.786,1,0,0,1,0,4,4,0,0,548668.771,2,6,6,0,0,0,0,0,0
5242,merged,0,1,0,1,0,6,0,6,4149311.7,1,0,3549348.768,9,3052906.187,24,24,0,0,4782829.069,2,44,9,0,0,2,2,0,0
5232,merged,0,2,0,2,0,3,0,3,4507582.446,1,0,3915630.492,7,3369467.373,12,12,0,0,4579142.276,2,69,12,0,0,2,2,0,0
5227,merged,0,1,0,1,0,1,0,1,517872.927,1,0,0,1,0,4,4,0,0,4087683.794,2,17,8,0,0,0,0,0,0
5221,merged,0,4,0,4,0,7,0,7,440257.256,1,0,0,11,0,28,28,0,0,440330.52,2,206,80,0,0,0,0,0,0
5215,merged,1,3,0,2,0,6,0,6,194917.35,1,0,0,8,0,24,24,0,0,195196.556,2,380,9,0,0,0,0,0,0
5213,merged,0,3,0,3,0,2,0,2,941795.573,1,0,0,2,0,8,8,0,0,941947.015,2,29,29,0,0,0,0,0,0
5212,merged,1,2,0,1,0,5,0,5,273551.7,1,0,0,7,0,20,20,0,0,273598.893,2,343,2,0,0,0,0,0,0
5211,merged,1,2,0,1,0,3,0,3,15080.464,1,0,0,5,0,12,12,0,0,16668.689,2,318,0,0,0,0,0,0,0
5210,merged,0,20,0,20,0,3,0,3,94802.795,1,0,0,5,0,12,12,0,0,95643.442,1,189,161,0,0,0,0,0,0
5208,merged,0,1,0,1,0,5,0,5,4822754.974,1,0,0,8,0,20,18,1,0,4827278.857,2,1,2,0,0,0,0,0,0
5206,merged,0,2,0,2,0,6,0,6,93912.331,1,0,0,8,0,24,22,1,0,162462.17,2,13,2,0,0,0,0,0,0
5205,merged,7,100,56,37,0,2,0,2,96691.882,1,0,0,3,0,8,8,0,0,97250.694,1,848,3230,0,0,0,0,0,0
5204,merged,1,36,14,21,0,10,0,10,928020.566,1,0,0,12,0,40,40,0,0,928613.895,1,2065,1770,0,0,0,0,0,0
5203,merged,0,4,0,4,0,4,0,4,102938.316,1,0,0,5,0,16,16,0,0,103009.302,2,18,14,0,0,0,0,0,0
5202,merged,0,1,0,1,0,1,0,1,3508.798,1,0,0,1,0,4,4,0,0,19338.114,1,1,1,0,0,0,0,0,0
5201,merged,1,16,0,15,0,5,0,5,362670.287,1,0,0,6,0,20,20,0,0,362973.37,1,1093,465,0,0,0,0,0,0
5199,merged,1,3,0,2,0,2,0,2,22145.652,1,0,0,3,0,8,8,0,0,22184.96,2,305,8,0,0,0,0,0,0
5198,merged,1,3,0,2,0,3,0,3,86605.529,1,0,0,4,0,12,12,0,0,86656.346,2,307,11,0,0,0,0,0,0
5196,merged,1,2,0,1,0,7,0,7,106666.213,1,0,0,10,0,28,28,0,0,106742.446,2,296,5,0,0,0,0,0,0
5194,merged,1,2,0,1,0,11,0,11,103036.81,1,0,0,14,0,44,44,0,0,103700.945,2,293,1,0,0,0,0,0,0
5192,merged,1,3,0,2,0,13,0,13,535378.434,1,0,0,16,0,52,52,0,0,535577.739,2,295,6,0,0,0,0,0,0
5189,merged,1,4,0,3,515975.483,10,1,9,1128117.221,1,0,0,15,0,40,40,0,0,1128154.039,2,329,7,0,0,0,0,0,0
5180,merged,1,5,0,4,0,9,0,9,1743401.996,1,0,0,16,0,36,36,0,0,1744288.0,2,427,14,0,0,0,0,0,0
5177,closed,0,1,0,1,0,1,0,1,-44.105,1,141.873,0,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0
5174,merged,105,201,22,74,0,9,0,9,2871305.257,1,0,0,113,0,36,36,0,0,2871367.946,2,9384,3216,65,0,0,0,0,0
5171,merged,0,12,0,12,0,9,0,9,2340220.987,1,0,0,38,0,36,33,1,0,2340413.072,2,346,148,0,0,0,0,0,0
5159,merged,2,5,0,3,0,11,0,11,1403512.907,1,0,0,17,0,44,44,0,0,1404502.926,2,733,422,0,0,0,0,0,0
5151,closed,8,17,0,9,0,1,0,1,285.465,1,429790.802,0,13,0,4,4,0,0,0,0,1035,15,0,0,0,0,0,0
5115,merged,0,2,0,2,0,2,0,2,775706.021,1,0,0,2,0,8,8,0,0,775976.731,1,13,4,0,0,0,0,0,0
5114,merged,0,1,0,1,0,3,0,3,5770.384,1,0,0,3,0,12,12,0,0,5956.603,1,25,0,0,0,0,0,0,0
5113,merged,0,12,0,12,0,1,0,1,250949.748,1,0,0,1,0,4,4,0,0,1108120.952,1,632,398,0,0,0,0,0,0
5112,merged,0,3,0,3,0,1,0,1,3752.188,1,0,0,1,0,4,4,0,0,5545.123,1,30,3,0,0,0,0,0,0
5106,merged,0,2,0,2,0,4,0,4,443970.835,1,0,0,5,0,16,16,0,0,444199.65,1,34,6,0,0,0,0,0,0
5102,closed,3,18,0,15,0,2,0,2,1912196.47,1,4349832.393,0,3,0,8,8,0,0,0,0,428,140,0,0,0,0,0,0
5098,merged,0,13,1,12,0,1,0,1,264817.335,1,0,0,3,0,4,4,0,0,330053.422,2,282,121,0,0,0,0,0,0
5094,merged,0,111,6,105,0,4,0,4,3976.339,1,0,0,4,0,16,10,3,0,4588.618,1,0,0,0,0,0,0,0,0
5090,merged,38,48,3,7,0,6,0,6,2612332.208,1,0,0,9,0,24,24,0,0,2612677.797,1,302,85,0,0,0,0,0,0
5082,merged,0,1,0,1,0,2,0,2,607875.438,1,0,0,3,0,8,8,0,0,608661.307,1,74,33,0,0,0,0,0,0
5075,merged,17,24,0,7,0,4,0,4,776972.148,1,0,198287.36,26,198287.36,16,16,0,0,889808.957,1,1196,12,0,0,1,1,0,0
5074,merged,17,24,0,7,0,5,0,5,779714.986,1,0,179863.982,32,17437.957,20,20,0,0,891924.863,1,1224,12,0,0,2,2,0,0
5072,merged,17,26,0,9,0,9,0,9,1400271.48,1,0,0,18,0,36,34,1,0,1401055.531,1,823,17,0,0,0,0,0,0
5071,closed,92,173,15,66,0,13,0,13,5960536.708,1,5966091.819,0,104,0,52,43,3,0,0,3,8755,2838,0,0,0,0,0,0
5052,merged,0,8,0,8,0,3,0,3,608867.621,1,0,0,4,0,12,12,0,0,608938.237,1,53,61,0,0,0,0,0,0
5051,merged,37,128,18,73,0,20,0,20,-510.941,1,0,0,84,0,82,50,12,0,34.586,1,8604,4534,0,0,0,0,0,0
5037,closed,56,115,10,49,0,12,0,12,6336688.624,1,6771780.265,0,84,0,48,45,1,0,0,2,4745,2522,0,0,0,0,0,0
5007,merged,13,21,1,7,0,6,0,6,800568.165,1,0,0,10,0,24,21,1,0,802411.583,1,457,17,0,0,0,0,0,0
4993,closed,27,81,8,46,0,20,0,20,7415352.297,1,8207932.603,0,62,0,84,74,6,0,0,3,2825,2387,0,0,0,0,0,0
4987,merged,3,6,0,3,0,7,0,7,2422776.913,1,0,0,11,0,28,22,2,0,2512823.507,1,1373,3,0,0,0,0,0,0
4983,merged,0,17,12,5,0,20,0,17,-196.331,1,0,0,23,0,131,86,5,0,528.945,1,0,0,0,0,0,0,0,0
4982,merged,39,110,3,68,0,17,0,17,-2588545.945,1,0,0,145,0,51,37,7,0,215.348,1,5640,891,0,0,0,0,0,0
4977,merged,10,21,0,11,0,14,0,14,605921.049,1,0,0,15,0,47,14,15,0,606991.384,2,775,41,0,0,0,0,0,0
4968,merged,0,23,0,23,0,2,0,2,427686.922,1,0,0,8,0,6,2,2,0,920043.902,1,1097,282,0,0,0,0,0,0
4965,merged,8,31,0,23,0,2,0,2,1212289.557,1,0,0,9,0,6,2,2,0,2417335.217,1,1428,19,0,0,0,0,0,0
4959,merged,12,15,2,1,0,3,0,3,352391.596,1,0,0,4,0,9,3,3,0,353432.473,2,828,0,0,0,0,0,0,0
4957,merged,4,31,9,18,0,8,0,8,3815586.0,1,0,0,13,0,24,8,8,0,4296290.367,1,3465,2472,0,0,0,0,0,0
4956,merged,3,5,0,2,0,2,0,2,178161.939,1,0,0,2,0,6,2,2,0,178342.345,1,353,1,0,0,0,0,0,0
4955,merged,0,5,0,5,0,2,0,2,1280424.365,1,0,0,2,0,6,2,2,0,1298076.114,1,55,18,0,0,0,0,0,0
4949,merged,1,4,0,3,0,6,0,6,677771.9,1,0,0,7,0,18,6,6,0,678158.13,1,131,32,0,0,0,0,0,0
4933,merged,0,2,0,2,0,1,0,1,4529.589,1,0,0,1,0,3,3,0,0,1041021.854,1,26,21,0,0,0,0,0,0
4932,merged,5,21,0,16,0,15,0,15,3784584.972,1,0,0,32,0,45,29,8,0,3784648.633,3,1303,277,0,0,0,0,0,0
4929,merged,1,15,0,14,0,5,0,5,1051041.072,1,0,600105.561,6,677.485,15,15,0,0,1051092.655,1,459,29,0,0,2,2,0,0
4927,merged,0,3,1,2,0,2,0,2,-16.985,1,0,0,2,0,6,6,0,0,90.044,1,2,91,0,0,0,0,0,0
4915,merged,3,21,0,18,0,6,0,6,8572442.878,1,0,6591495.222,6,6591495.222,18,8,5,0,8902315.277,1,635,15,0,0,1,1,0,0
4907,merged,1,13,0,12,0,4,1,3,603046.235,1,0,179927.522,9,179927.522,12,12,0,1,603107.267,1,721,4,0,0,1,1,0,0
4906,merged,10,30,0,20,1206019.616,13,3,9,449400.622,1,0,12236.46,19,12236.46,39,34,1,1,604560.609,3,982,440,0,0,1,1,0,0
4905,merged,6,31,0,25,0,20,0,20,3122874.313,1,0,0,34,0,60,60,0,0,3212304.394,2,2431,154,0,0,0,0,0,0
4904,merged,107,173,0,66,0,20,0,18,442266.987,1,0,0,191,0,60,54,0,0,453830.592,2,15933,1326,0,0,0,0,0,0
4887,closed,0,17,0,17,0,9,0,9,600977.995,1,608082.013,0,9,0,27,27,0,0,0,1,1575,541,0,0,0,0,0,0
4878,merged,0,509,508,1,0,1,0,1,-122.054,1,0,0,1,0,3,3,0,0,37.204,1,0,1500,0,3528,0,0,0,0
4877,merged,49,1000,153,798,0,1,0,1,-359.504,1,0,0,1,0,3,1,1,0,18.913,1,0,0,14,10,0,0,0,0
4875,merged,2,5,0,3,0,2,0,2,82748.545,1,0,0,2,0,6,6,0,0,83478.107,1,180,1,0,0,0,0,0,0
4839,merged,1,2,0,1,0,1,0,1,13957.272,1,0,0,1,0,3,3,0,0,14192.232,1,124,0,0,0,0,0,0,0
4834,merged,0,1,0,1,0,3,0,3,3206.167,1,0,0,3,0,9,9,0,0,3585.147,1,12,11,0,0,0,0,0,0
4825,merged,0,13,0,13,0,3,0,3,19355.456,1,0,0,3,0,9,9,0,0,344249.664,1,104,95,0,0,0,0,0,0
4822,merged,0,5,0,5,0,2,0,2,23489.67,1,0,0,3,0,6,6,0,0,23651.988,1,59,33,0,0,0,0,0,0
4819,merged,0,8,0,8,0,7,0,7,1650584.136,1,0,0,4,0,21,21,0,0,1811975.527,1,274,121,0,0,0,0,0,0
4818,merged,3,21,0,18,0,9,1,8,2789951.707,1,0,0,32,0,27,24,1,0,3286778.718,1,1103,321,0,0,0,0,0,0
4816,merged,0,3,0,3,0,2,0,2,164544.996,1,0,0,3,0,6,6,0,0,164606.668,1,57,28,0,0,0,0,0,0
4815,merged,0,7,0,7,189771.041,7,4,3,627926.563,1,0,0,13,0,21,21,0,0,628465.754,1,465,175,0,0,0,0,0,0
4814,merged,0,8,0,8,0,3,1,2,422548.336,1,0,0,4,0,9,9,0,0,422580.295,1,169,42,0,0,0,0,0,0
4813,merged,0,2,0,2,0,1,1,0,1636.833,0,0,0,1,0,3,3,0,0,1948.135,1,16,14,0,0,0,0,0,0
4812,merged,2,34,0,32,0,7,0,7,-156.756,1,0,0,13,0,21,21,0,0,6.853,1,976,83,0,0,0,0,0,0
4811,merged,0,23,0,23,0,4,2,2,-597.354,1,0,0,5,0,12,12,0,0,60.921,1,553,400,0,0,0,0,0,0
4810,merged,0,8,0,8,0,1,1,0,-30.368,0,0,0,1,0,3,3,0,0,5.769,1,9,9,0,0,0,0,0,0
4809,merged,0,1,0,1,0,1,1,0,-30.596,0,0,0,1,0,3,3,0,0,6.652,1,0,19,0,0,0,0,0,0
4808,merged,19,101,29,53,0,20,0,20,-471.034,1,0,0,228,0,60,60,0,0,10.651,1,3829,2346,0,0,0,0,0,0
4807,closed,0,20,0,20,0,3,0,3,107616.339,1,524228.414,0,15,0,9,9,0,0,0,2,679,299,0,0,0,0,0,0
4801,merged,3,36,22,11,0,20,6,14,70.624,1,0,0,32,0,60,56,2,0,234.714,1,483,65,0,0,0,0,0,0
4800,merged,17,29,1,11,0,10,0,10,506282.57,1,0,0,65,0,30,30,0,0,516352.939,2,1076,250,0,0,0,0,0,0
4795,merged,0,13,0,13,0,3,0,3,198755.14,1,0,0,22,0,9,9,0,0,257211.763,1,924,833,0,0,0,0,0,0
4792,merged,0,1,0,1,0,1,0,1,-22.621,1,0,0,1,0,3,3,0,0,55.304,1,1,1,0,0,0,0,0,0
4790,merged,0,5,0,5,0,3,0,3,613934.802,1,0,0,9,0,9,9,0,0,613966.277,1,100,25,0,0,0,0,0,0
4789,merged,1,16,0,15,0,11,0,11,493451.644,1,0,0,25,0,33,33,0,0,493930.079,1,369,185,0,0,0,0,0,0
4784,merged,0,2,0,2,0,1,0,1,16556.32,1,0,0,2,0,3,3,0,0,16725.823,1,40,7,0,0,0,0,0,0
4774,merged,1,1,0,0,0,1,1,0,-97.772,0,0,0,2,0,3,3,0,0,22.585,1,0,0,0,0,0,0,0,0
4773,merged,29,122,6,87,0,20,0,20,-995.472,1,0,0,262,0,60,60,0,0,101.059,1,4165,2221,0,0,0,0,0,0
4772,merged,0,2,1,1,0,6,4,2,517492.862,1,0,0,6,0,18,18,0,0,518543.896,1,52,207,0,0,0,0,0,0
4771,closed,0,1,0,1,0,1,0,1,-411.768,1,247.014,0,1,0,3,3,0,0,0,1,2,2,0,0,0,0,0,0
4770,merged,0,3,0,3,0,1,0,1,1512.632,1,0,0,1,0,3,3,0,0,1874.109,1,6,6,0,0,0,0,0,0
4769,merged,0,6,0,6,0,2,0,2,3175.5,1,0,0,2,0,6,6,0,0,3445.101,1,41,8,0,0,0,0,0,0
4768,merged,0,3,0,3,0,2,0,2,1392.601,1,0,0,2,0,6,6,0,0,1715.799,1,5,5,0,0,0,0,0,0
4767,merged,0,1,0,1,0,1,0,1,5109.48,1,0,0,1,0,3,3,0,0,5497.533,1,46,23,0,0,0,0,0,0
4766,merged,0,1,0,1,0,1,0,1,2023.183,1,0,0,1,0,3,3,0,0,2302.245,1,6,1,0,0,0,0,0,0
4764,closed,1,5,0,4,62429.137,6,1,5,161391.166,1,161552.797,0,15,0,18,18,0,0,0,1,856,577,0,0,0,0,0,0
4763,merged,0,1,0,1,0,1,0,1,-523.602,1,0,0,1,0,3,3,0,0,12.532,1,7,7,0,0,0,0,0,0
4761,merged,0,1,0,1,0,1,0,1,615.036,1,0,0,1,0,3,3,0,0,880.904,1,1,1,0,0,0,0,0,0
4760,merged,0,2,0,2,0,2,0,2,466.408,1,0,0,2,0,6,6,0,0,974.863,1,2,2,0,0,0,0,0,0
4759,merged,0,2,0,2,0,1,0,1,1373.771,1,0,0,1,0,3,3,0,0,2026.452,1,0,14,0,0,0,0,0,0
4755,merged,0,1,0,1,0,2,0,2,3423.059,1,0,0,2,0,6,6,0,0,3562.387,1,5,4,0,0,0,0,0,0
4754,merged,0,3,0,3,0,2,0,2,2410.557,1,0,0,2,0,6,6,0,0,2553.609,1,44,1,0,0,0,0,0,0
4753,merged,0,1,0,1,0,2,0,2,3580.148,1,0,0,3,0,6,6,0,0,3779.265,1,2,2,0,0,0,0,0,0
4752,merged,0,1,0,1,0,2,0,2,1739.265,1,0,0,2,0,6,6,0,0,1907.986,1,4,10,0,0,0,0,0,0
4751,merged,0,3,0,3,0,2,0,2,2288.029,1,0,0,2,0,6,6,0,0,5343.92,1,42,4,0,0,0,0,0,0
4750,merged,0,10,0,10,0,4,0,4,7821.295,1,0,0,4,0,12,12,0,0,9316.506,1,19,20,0,0,0,0,0,0
4749,merged,0,3,0,3,0,1,0,1,816.222,1,0,0,1,0,3,3,0,0,3307.331,1,4,7,0,0,0,0,0,0
4747,merged,0,4,0,4,0,1,0,1,9350.149,1,0,0,1,0,3,3,0,0,12164.618,1,21,0,0,0,0,0,0,0
4745,merged,0,1,0,1,0,1,0,1,1419.241,1,0,0,1,0,3,3,0,0,1574.012,1,15,7,0,0,0,0,0,0
4743,merged,0,1,0,1,0,1,0,1,853.203,1,0,0,1,0,3,3,0,0,1075.605,1,10,1,0,0,0,0,0,0
4742,merged,0,6,0,6,0,2,0,2,13544.409,1,0,0,8,0,6,6,0,0,13807.219,1,87,67,0,0,0,0,0,0
4741,merged,0,1,0,1,0,1,0,1,2328.638,1,0,0,1,0,3,3,0,0,3560.633,1,1,1,0,0,0,0,0,0
4740,merged,9,11,0,2,0,1,0,1,781.657,1,0,0,21,0,3,3,0,0,1091.105,1,391,86,0,0,0,0,0,0
4738,merged,0,7,0,7,0,1,0,1,15866.104,1,0,0,2,0,3,3,0,0,16082.983,1,29,5,0,0,0,0,0,0
4734,merged,0,2,0,2,0,1,0,1,-51.164,1,0,0,1,0,3,3,0,0,772.958,1,8,2,0,0,0,0,0,0
4733,merged,0,4,0,4,0,1,0,1,4871.963,1,0,0,1,0,3,3,0,0,6272.912,1,79,49,0,0,0,0,0,0
4732,merged,0,2,0,2,0,1,0,1,222.675,1,0,0,1,0,3,3,0,0,1111.255,1,2,3,0,0,0,0,0,0
4730,merged,0,3,0,3,0,2,0,2,330.527,1,0,0,2,0,6,6,0,0,3146.501,1,9,4,0,0,0,0,0,0
4719,closed,0,17,2,15,0,3,0,3,2920.037,1,6044434.494,0,4,0,9,9,0,0,0,1,66,197,0,0,0,0,0,0
4707,merged,0,3,0,3,0,1,0,1,-224.393,1,0,0,1,0,3,3,0,0,50.347,1,12,3,0,0,0,0,0,0
4706,merged,0,3,0,3,0,5,0,5,608958.719,1,0,0,8,0,15,15,0,0,611936.45,1,36,29,0,0,0,0,0,0
4705,merged,0,13,0,13,0,8,0,8,610268.702,1,0,0,15,0,24,24,0,0,612743.262,1,475,431,0,0,0,0,0,0
4700,merged,1,23,0,22,0,9,0,9,602335.398,1,0,0,11,0,27,27,0,0,620921.046,1,622,532,0,0,0,0,0,0
4699,closed,0,6,1,5,0,7,0,7,1209029.31,1,14861794.409,0,8,0,21,21,0,0,0,2,93,63,0,0,0,0,0,0
4696,merged,1,14,0,13,0,2,0,2,521788.665,1,0,0,2,0,6,6,0,0,522404.459,1,509,584,0,0,0,0,0,0
4692,merged,0,7,0,7,0,3,0,3,191282.464,1,0,0,4,0,9,9,0,0,458002.792,2,144,102,0,0,0,0,0,0
4689,merged,2,9,0,7,0,2,0,2,1535.52,1,0,0,2,0,6,6,0,0,1577.254,1,134,55,0,0,0,0,0,0
4688,merged,0,3,0,3,0,5,5,0,-113.412,0,0,0,6,0,15,15,0,0,868.395,1,70,23,0,0,0,0,0,0
4686,merged,2,5,0,3,0,5,2,3,1212627.248,1,0,0,5,0,15,15,0,0,1213304.318,1,41,30,0,0,0,0,0,0
4678,merged,0,14,1,13,347.753,3,2,1,15280.262,1,0,0,6,0,9,9,0,0,18549.423,1,502,623,0,0,0,0,0,0
4675,merged,1,19,1,17,0,2,0,2,605062.975,1,0,0,2,0,6,6,0,0,615519.744,1,279,228,0,0,0,0,0,0
4673,merged,1,3,0,2,0,3,3,0,84773.514,0,0,0,6,0,9,9,0,0,85845.38,1,99,4,0,0,0,0,0,0
4672,merged,0,6,0,6,0,1,1,0,7160.406,0,0,0,1,0,3,3,0,0,82788.345,1,18,1,0,0,0,0,0,0
4659,merged,8,51,1,42,434254.415,8,2,6,512715.65,1,0,0,12,0,24,24,0,0,513569.012,1,1094,656,0,0,0,0,0,0
4657,merged,4,6,0,2,249881.716,7,5,2,437210.663,1,0,0,8,0,21,21,0,0,437406.304,2,363,23,0,0,0,0,0,0
4656,merged,5,27,0,22,520144.495,7,4,3,-4239.769,1,0,0,80,0,21,21,0,0,1675.359,1,748,221,0,0,0,0,0,0
4650,merged,0,8,0,8,94581.902,12,7,5,616795.207,1,0,519806.402,17,519806.402,36,36,0,0,617069.373,2,385,240,0,0,1,0,1,0
4642,merged,1,2,0,1,0,5,3,2,520395.077,1,0,0,10,0,15,15,0,0,520637.167,1,170,1,0,0,0,0,0,0
4638,closed,0,8,0,8,79616.02,9,6,3,90517.726,1,618031.082,87881.658,20,87881.658,27,27,0,0,0,2,164,63,0,0,1,0,1,1
4628,merged,0,15,0,15,0,1,1,0,-78023.003,0,0,0,44,0,3,3,0,0,13.48,1,245,152,0,0,0,0,0,0
4624,merged,0,2,0,2,0,1,0,1,-35.012,1,0,0,1,0,3,3,0,0,8.377,1,11,10,0,0,0,0,0,0
4623,merged,0,1,0,1,0,1,1,0,-27.362,0,0,0,1,0,3,3,0,0,6.762,1,1,1,0,0,0,0,0,0
4622,merged,1,24,2,21,0,3,3,0,-231.72,0,0,0,70,0,9,9,0,0,11.265,1,1935,1015,0,0,0,0,0,0
4619,merged,0,15,0,15,521.066,8,6,2,99256.931,1,0,0,43,0,24,24,0,0,99636.25,1,245,152,0,0,0,0,0,0
4615,merged,5,72,8,59,89934.136,15,8,7,-514767.773,1,0,0,82,0,45,44,1,0,8.617,1,1012,3121,0,0,0,0,0,0
4609,closed,0,2,0,2,2791.777,2,1,1,2647.323,1,1291567.492,0,2,0,6,6,0,0,0,1,46,22,0,0,0,0,0,0
4604,merged,0,3,0,3,530173.339,7,3,4,1056926.133,1,0,0,30,0,25,18,5,0,1057047.634,1,39,25,0,0,0,0,0,0
4597,merged,0,16,0,16,1447.662,20,16,4,2418783.206,1,0,0,60,0,60,60,0,0,2420657.846,2,247,187,0,0,0,0,0,0
4585,closed,0,1,0,1,0,7,7,0,526707.281,0,529468.285,0,7,0,21,21,0,0,0,0,5,9,0,0,0,0,0,0
4574,merged,0,13,0,13,0,5,5,0,2409608.081,0,0,0,7,0,15,15,0,0,2497332.641,2,89,45,0,0,0,0,0,0
4573,merged,0,28,0,28,517896.049,13,3,10,601676.326,1,0,0,13,0,39,39,0,0,687492.749,1,309,191,0,0,0,0,0,0
4572,merged,1,22,2,19,170984.921,20,8,12,1302904.771,1,0,0,46,0,60,60,0,0,1734812.987,1,1895,989,0,0,0,0,0,0
4570,merged,0,1,0,1,0,1,0,1,1375.447,1,0,0,1,0,3,3,0,0,3296.796,1,1,0,0,0,0,0,0,0
4561,merged,0,1,0,1,0,1,0,1,663.481,1,0,0,1,0,3,3,0,0,834.611,1,5,3,0,0,0,0,0,0
4560,merged,0,1,0,1,0,1,0,1,180.905,1,0,0,1,0,3,3,0,0,351.973,1,5,4,0,0,0,0,0,0
4558,merged,0,3,0,3,0,5,0,5,1546.695,1,0,0,5,0,15,9,2,0,2396.075,1,19,29,0,0,0,0,0,0
